2002-01-18,"The Sierra Leone Civil War is declared over.",history/war
1639-01-19,"Hämeenlinna is granted city privileges.",history/cities
1841-01-20,"Hong Kong Island is occupied by the British during the First Opium War.",history/colonialism
1869-01-21,"Grigori Yefimovich 'Ra-Ra' Rasputin, Russia's greatest love machine, is born.",history/biography
